epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.674,1.01796,8.73675,0.58045,0.78732,1.35365,0.87875,0.82672,0.91088,0.68749,0.54739,0.35297,0.27306,0.06523,1.03741,6.42769,0.28733,0.72262,1.43848,0.000666083,0.000666083,0.000666083
2,245.205,0.98827,6.9656,0.43157,0.71848,1.31626,0.92544,0.91726,0.96181,0.73337,0.61885,0.4252,0.33989,0.12238,0.96549,5.51983,0.16135,0.57044,1.28477,0.00128877,0.00128877,0.00128877
3,359.516,0.95232,6.36453,0.37987,0.67743,1.28288,0.92347,0.92259,0.96958,0.75821,0.6298,0.43955,0.34734,0.1668,0.92045,5.17058,0.16002,0.53771,1.26305,0.00186746,0.00186746,0.00186746
4,472.561,0.90309,5.78765,0.34983,0.63189,1.24653,0.94292,0.94788,0.9789,0.7931,0.81647,0.60681,0.6141,0.33992,0.81445,3.90402,0.11776,0.47295,1.17097,0.001802,0.001802,0.001802
5,585.518,0.86759,5.38938,0.33008,0.59148,1.21938,0.95752,0.95258,0.9834,0.81354,0.76284,0.62756,0.61387,0.37452,0.77036,3.69862,0.09118,0.43698,1.1502,0.001736,0.001736,0.001736
6,699.079,0.84364,5.11941,0.31309,0.5722,1.20293,0.95298,0.95006,0.98379,0.82151,0.78492,0.65061,0.65027,0.40963,0.75649,3.53467,0.09663,0.42398,1.12216,0.00167,0.00167,0.00167
7,814.046,0.82316,4.89778,0.30032,0.5446,1.19011,0.95186,0.96236,0.98603,0.83373,0.81359,0.67866,0.69069,0.4549,0.72984,3.31705,0.09948,0.40378,1.10756,0.001604,0.001604,0.001604
8,928.933,0.80744,4.7252,0.29222,0.53365,1.17882,0.95184,0.95863,0.98568,0.83483,0.81055,0.66739,0.69182,0.46485,0.72519,3.25321,0.08746,0.40016,1.10652,0.001538,0.001538,0.001538
9,1042.51,0.78634,4.53536,0.28142,0.51754,1.16767,0.95812,0.96209,0.9858,0.84977,0.80925,0.70556,0.7176,0.49326,0.6832,3.05907,0.08237,0.37753,1.08171,0.001472,0.001472,0.001472
10,1155.58,0.7659,4.37067,0.27578,0.50161,1.15495,0.96233,0.96834,0.98823,0.85614,0.8102,0.7135,0.72069,0.50516,0.67468,2.99661,0.07693,0.35947,1.06195,0.001406,0.001406,0.001406
11,1269.91,0.76238,4.29153,0.27053,0.49497,1.14862,0.96176,0.96621,0.98856,0.85894,0.80512,0.70584,0.71241,0.50171,0.67059,2.99793,0.06837,0.35487,1.06564,0.00134,0.00134,0.00134
12,1384.37,0.74835,4.15536,0.26622,0.48244,1.14277,0.9629,0.96222,0.98849,0.85814,0.83453,0.72477,0.74663,0.53984,0.65739,2.69247,0.06851,0.35344,1.04924,0.001274,0.001274,0.001274
13,1499.09,0.74693,4.07938,0.26159,0.47766,1.14399,0.96113,0.97225,0.98868,0.86092,0.82674,0.73361,0.74783,0.55094,0.65113,2.67976,0.0688,0.34494,1.04909,0.001208,0.001208,0.001208
14,1613.55,0.7327,3.98449,0.25526,0.46596,1.13232,0.96747,0.97131,0.98989,0.86747,0.81965,0.75525,0.75642,0.55044,0.63739,2.62611,0.06425,0.33235,1.04044,0.001142,0.001142,0.001142
15,1726.85,0.72339,3.8614,0.25135,0.46192,1.12868,0.97129,0.97118,0.98984,0.86888,0.843,0.75164,0.77324,0.5814,0.63331,2.51692,0.06098,0.32983,1.03721,0.001076,0.001076,0.001076
16,1841.23,0.7097,3.77217,0.24817,0.44675,1.11787,0.96267,0.97105,0.98916,0.86385,0.82069,0.75205,0.74284,0.55352,0.6378,2.53419,0.06095,0.33161,1.03923,0.00101,0.00101,0.00101
17,1955.57,0.70603,3.72633,0.24521,0.44505,1.11787,0.96911,0.97653,0.98988,0.87562,0.81489,0.77015,0.76022,0.58365,0.61641,2.47659,0.06002,0.31954,1.02478,0.000944,0.000944,0.000944
18,2068.73,0.69854,3.64125,0.24334,0.4438,1.1134,0.96685,0.97498,0.98966,0.87932,0.83734,0.76947,0.78431,0.60606,0.59783,2.38861,0.06222,0.31359,1.01188,0.000878,0.000878,0.000878
19,2183.84,0.68728,3.52637,0.23817,0.43431,1.10727,0.97155,0.97541,0.9901,0.88605,0.83486,0.79252,0.80567,0.62648,0.5865,2.30338,0.05831,0.30291,1.00186,0.000812,0.000812,0.000812
20,2299.11,0.67733,3.48298,0.23609,0.42776,1.10338,0.97143,0.9731,0.99054,0.88568,0.83686,0.791,0.79924,0.61942,0.5812,2.27244,0.05428,0.3025,0.99783,0.000746,0.000746,0.000746
21,2412.06,0.57692,2.77251,0.08725,0.32775,1.05505,0.97151,0.97396,0.99076,0.88882,0.8475,0.80858,0.81957,0.65001,0.5826,2.15422,0.03638,0.2965,0.98989,0.00068,0.00068,0.00068
22,2525.53,0.55405,2.65938,0.08041,0.31226,1.04016,0.97057,0.97566,0.99097,0.88964,0.83825,0.8061,0.80895,0.6409,0.57579,2.16555,0.03487,0.2929,0.98449,0.000614,0.000614,0.000614
23,2637.55,0.53994,2.55705,0.07754,0.30021,1.03144,0.97249,0.97326,0.99113,0.89621,0.85912,0.80448,0.83139,0.67312,0.55849,2.0786,0.03229,0.27967,0.9756,0.000548,0.000548,0.000548
24,2750.31,0.52493,2.46499,0.07528,0.28923,1.02148,0.97135,0.97797,0.99146,0.89986,0.86336,0.8133,0.83681,0.68336,0.5507,2.01338,0.0317,0.27517,0.96758,0.000482,0.000482,0.000482
25,2862.64,0.51416,2.3879,0.07276,0.28403,1.01378,0.97381,0.97619,0.99125,0.90308,0.8597,0.82172,0.84263,0.6904,0.53903,1.98252,0.03111,0.27232,0.96209,0.000416,0.000416,0.000416
26,2975.39,0.50172,2.32615,0.0703,0.27282,1.00563,0.97579,0.97772,0.99152,0.90405,0.86565,0.82193,0.84466,0.69484,0.53676,1.93819,0.03002,0.2655,0.95926,0.00035,0.00035,0.00035
27,3088.41,0.48944,2.23835,0.0684,0.26414,0.99871,0.97227,0.97875,0.99145,0.90433,0.86803,0.82895,0.8497,0.69851,0.5272,1.90082,0.02913,0.26335,0.95348,0.000284,0.000284,0.000284
28,3200.43,0.48046,2.18858,0.06966,0.25766,0.99202,0.97516,0.98024,0.99161,0.90672,0.86541,0.83753,0.85641,0.70615,0.52302,1.87624,0.02848,0.25819,0.94963,0.000218,0.000218,0.000218
29,3313.65,0.47342,2.14863,0.07069,0.25262,0.98949,0.97597,0.97695,0.9916,0.90732,0.8653,0.84183,0.8576,0.70988,0.52406,1.85765,0.0286,0.25851,0.94898,0.000152,0.000152,0.000152
30,3426.6,0.46432,2.09099,0.06599,0.24765,0.97969,0.97561,0.97838,0.99168,0.90937,0.87401,0.83389,0.8567,0.71004,0.51917,1.84724,0.02852,0.25635,0.94523,8.6e-05,8.6e-05,8.6e-05
